date,pe,close
1999-01,34.04,1134.67
1999-02,33.45,1090.09
1999-03,34.27,1158.05
1999-04,34.36,1120.93
1999-05,35.38,1279.33
1999-06,45.34,1689.43
1999-07,43.95,1601.46
1999-08,43.91,1627.12
1999-09,42.57,1570.7
1999-10,40.76,1504.56
1999-11,40.01,1434.97
1999-12,38.1,1366.58
2000-01,42.78,1535
2000-02,47.97,1714.58
2000-03,49.97,1800.22
2000-04,51.21,1836.32
2000-05,54.06,1894.55
2000-06,55.29,1928.11
2000-07,58.22,2023.54
2000-08,58.2,2021.2
2000-09,54.83,1910.16
2000-10,56.3,1961.29
2000-11,59.86,2070.61
2000-12,59.16,2073.48
2001-01,59.34,2065.61
2001-02,56.82,1959.18
2001-03,60.9,2112.77
2001-04,60.95,2119.18
2001-05,55.95,2214.26
2001-06,56.63,2218.03
2001-07,49.21,1920.32
2001-08,42.15,1834.14
2001-09,40.61,1764.87
2001-10,38.85,1689.17
2001-11,40.1,1747.99
2001-12,37.58,1645.97
2002-01,34.32,1491.67
2002-02,35.04,1524.7
2002-03,37.25,1603.91
2002-04,39.09,1667.75
2002-05,38.66,1515.73
2002-06,44.47,1732.76
2002-07,42.46,1651.59
2002-08,43.04,1666.62
2002-09,40.41,1581.62
2002-10,38.18,1507.5
2002-11,36.41,1434.18
2002-12,34.46,1357.65
2003-01,37.97,1499.81
2003-02,38.26,1511.93
2003-03,38.15,1510.58
2003-04,38.52,1521.44
2003-05,38.21,1576.26
2003-06,36.07,1486.02
2003-07,35.76,1476.74
2003-08,34.33,1421.98
2003-09,33.03,1367.16
2003-10,32.51,1348.3
2003-11,34.04,1397.22
2003-12,36.65,1497.04
2004-01,38.92,1590.73
2004-02,40.89,1675.07
2004-03,42.42,1741.62
2004-04,38.96,1595.59
2004-05,28.67,1555.91
2004-06,26.61,1399.16
2004-07,26.5,1386.2
2004-08,25.62,1342.06
2004-09,26.71,1396.7
2004-10,25.4,1320.54
2004-11,25.74,1340.77
2004-12,24.31,1266.5
2005-01,22.87,1191.82
2005-02,25.02,1306
2005-03,22.67,1181.24
2005-04,22.35,1159.15
2005-05,15.66,1060.74
2005-06,16,1080.94
2005-07,16.09,1083.03
2005-08,16.94,1162.8
2005-09,16.87,1155.61
2005-10,15.67,1092.82
2005-11,15.65,1099.26
2005-12,16.42,1161.06
2006-01,17.59,1258.05
2006-02,18.03,1299.03
2006-03,17.75,1298.3
2006-04,19.38,1440.22
2006-05,19.67,1641.3
2006-06,19.88,1672.21
2006-07,20.07,1612.73
2006-08,20.34,1658.64
2006-09,21.41,1752.42
2006-10,22.83,1837.99
2006-11,26.13,2099.29
2006-12,33.38,2675.47
2007-01,38.33,2786.33
2007-02,39.62,2881.07
2007-03,44.3,3183.98
2007-04,53.3,3841.27
2007-05,43.37,4109.65
2007-06,42.8,3820.7
2007-07,50.54,4471.03
2007-08,59.26,5218.83
2007-09,63.74,5552.3
2007-10,69.59,5954.77
2007-11,53.81,4871.78
2007-12,59.21,5261.56
2008-01,49.39,4383.39
2008-02,49.26,4348.54
2008-03,39.5,3472.71
2008-04,42.05,3693.11
2008-05,25.9,3433.35
2008-06,20.64,2736.1
2008-07,20.96,2775.72
2008-08,18.2,2397.37
2008-09,18.65,2293.78
2008-10,14.07,1728.79
2008-11,15.28,1871.16
2008-12,14.81,1820.81
2009-01,16.24,1990.66
2009-02,16.99,2082.85
2009-03,19.37,2373.21
2009-04,20.23,2477.57
2009-05,22.48,2632.93
2009-06,25.33,2959.36
2009-07,29.5,3412.06
2009-08,23.01,2667.75
2009-09,24.06,2779.43
2009-10,26.01,2995.85
2009-11,27.98,3195.3
2009-12,28.82,3277.14
2010-01,26.23,2989.29
2010-02,27.59,3051.94
2010-03,27.45,3109.1
2010-04,25.4,2870.61
2010-05,19.9,2592.15
2010-06,18.46,2398.37
2010-07,19.87,2637.5
2010-08,19.8,2638.8
2010-09,19.97,2655.66
2010-10,22.59,2978.83
2010-11,21.58,2820.18
2010-12,21.64,2808.08
2011-01,21.57,2790.69
2011-02,22.53,2905.05
2011-03,22.85,2928.11
2011-04,22.66,2911.51
2011-05,16.27,2743.47
2011-06,16.47,2762.08
2011-07,16.2,2701.73
2011-08,15.46,2567.34
2011-09,14.22,2359.22
2011-10,14.95,2468.25
2011-11,14.21,2333.41
2011-12,13.36,2199.42
2012-01,13.97,2292.61
2012-02,14.88,2428.49
2012-03,13.85,2262.79
2012-04,14.73,2396.32
2012-05,12.65,2372.23
2012-06,11.92,2225.43
2012-07,11.28,2103.63
2012-08,10.96,2047.52
2012-09,11.26,2086.17
2012-10,11.25,2068.88
2012-11,10.7,1980.12
2012-12,12.3,2269.13
2013-01,12.92,2385.42
2013-02,12.95,2365.59
2013-03,12.12,2236.62
2013-04,11.9,2177.91
2013-05,11.84,2300.59
2013-06,10.07,1979.21
2013-07,10.25,1993.8
2013-08,10.84,2098.38
2013-09,11.13,2174.67
2013-10,11,2141.61
2013-11,11.47,2220.5
2013-12,10.97,2115.98
2014-01,10.57,2033.08
2014-02,10.74,2056.3
2014-03,10.74,2033.31
2014-04,10.56,2026.36
2014-05,9.76,2039.21
2014-06,9.81,2048.33
2014-07,10.54,2201.56
2014-08,10.72,2217.2
2014-09,11.45,2363.87
2014-10,11.8,2420.18
2014-11,13.13,2682.83
2014-12,16.03,3234.68
2015-01,15.96,3210.36
2015-02,16.52,3310.3
2015-03,18.93,3747.9
2015-04,22.5,4441.65
2015-05,21.93,4611.74
2015-06,21,4277.22
2015-07,20.89,3663.73
2015-08,15.81,3205.99
2015-09,15.15,3052.78
2015-10,16.62,3382.56
2015-11,17.1,3445.41
2015-12,17.63,3539.18
2016-01,13.73,2737.6
2016-02,13.56,2687.98
2016-03,15.05,3003.92
2016-04,14.75,2938.32
2016-05,14.41,2916.62
2016-06,14.43,2929.61
2016-07,14.77,2979.34
2016-08,15.42,3085.49
2016-09,15.03,3004.7
2016-10,15.71,3100.49
2016-11,16.49,3250.03
2016-12,15.95,3103.64
2017-01,16.35,3159.17
2017-02,16.83,3241.73
2017-03,16.83,3222.51
2017-04,16.71,3154.66
2017-05,16.47,3117.18
2017-06,17.03,3192.43
2017-07,17.43,3273.03
2017-08,17.94,3360.81
2017-09,18.02,3348.94
2017-10,18.01,3393.34
2017-11,18.08,3317.19
2017-12,18.03,3307.17
2018-01,19.19,3480.83
2018-02,18.06,3259.41
2018-03,17.72,3168.9
2018-04,17.31,3082.41
2018-05,15.16,3061.83
2018-06,13.81,2789.81
2018-07,14.29,2866.9
2018-08,13.45,2730.11
2018-09,13.86,2794.26
2018-10,13,2573.01
2018-11,12.96,2564.56
2018-12,12.48,2493.9
2019-01,12.94,2584.57
2019-02,14.78,2940.95
2019-03,15.54,3090.76
2019-04,15.43,3078.34
2019-05,13.4,2898.7
2019-06,13.78,2978.88
2019-07,13.64,2932.51
2019-08,13.63,2863.57
